p,seed,method,evaluation,code,selected,fits,validation_acc,validation_normalized_margin,validation_mean_margin,relative_residual,bank_predicted_z,bank_candidates_scored
17,2012,random_probe,8,70,False,11,1.0,1.2649310119300197,0.0021421318486666402,3.446819206732846e-14,,
17,2012,random_probe,9,83,False,11,0.0,-0.5423680649806988,-0.0009710965153450468,3.594479522173626e-14,,
17,2012,random_probe,10,53,False,11,0.16666666666666666,-0.1564552028683263,-0.0002689983116718868,3.389974924032272e-14,,
17,2013,bank,0,110,True,0,,,,,1.9509073178421814,128
17,2013,greedy_probe,0,0,False,11,1.0,1.1473560581207354,0.004747417274233862,3.524341192867188e-14,,
17,2013,greedy_probe,1,1,False,11,1.0,1.1390908669706146,0.004705571265948119,3.713732312679164e-14,,
17,2013,greedy_probe,2,4,False,11,1.0,1.231543711435055,0.005118885838958714,3.639347621229585e-14,,
17,2013,greedy_probe,3,12,False,11,1.0,0.8120166562169896,0.0035601524522307477,3.377085795431784e-14,,
17,2013,greedy_probe,4,36,False,11,0.0,-0.5656927333556024,-0.002169631907363733,3.542107695384357e-14,,
17,2013,greedy_probe,5,68,False,11,1.0,1.269817290809958,0.0052164680714874125,3.3014256057139865e-14,,
17,2013,greedy_probe,6,70,False,11,0.16666666666666666,-0.3245940397346813,-0.00044647016812609147,3.5979319928348324e-14,,
17,2013,greedy_probe,7,84,True,11,1.0,1.6834770073085894,0.0046207178897163135,3.53475449952383e-14,,
17,2013,greedy_probe,8,85,False,11,1.0,1.6721641079130232,0.00466295465870932,3.4983694010049675e-14,,
17,2013,greedy_probe,9,80,False,11,1.0,1.5755121991541456,0.00429125277305929,3.318173576544574e-14,,
17,2013,greedy_probe,10,92,False,11,0.8333333333333334,0.13698987721350211,0.0003289481640270514,3.6055119249954454e-14,,
17,2013,random_full,0,0,True,60,1.0,1.1506241154604602,0.004769870824987904,3.8293859468562476e-14,,
17,2013,random_full,1,121,False,60,0.16666666666666666,-0.2895162321768749,-0.0003915725842650805,3.641852876612494e-14,,
17,2013,random_probe,0,0,False,11,1.0,1.1473560581207354,0.004747417274233862,3.524341192867188e-14,,
17,2013,random_probe,1,121,False,11,0.16666666666666666,-0.3107692736727199,-0.0004196816686241149,3.746106561507631e-14,,
17,2013,random_probe,2,62,False,11,1.0,1.1730248594765114,0.0048689465591846585,3.726965808404171e-14,,
17,2013,random_probe,3,85,False,11,1.0,1.6721641079130232,0.00466295465870932,3.4983694010049675e-14,,
