name,p,view,step,sequences,eligible,unique,displaced
p23_s100_cross,23,point,0,23,23,23,23
p23_s100_cross,23,point,1,23,23,23,23
p23_s100_cross,23,point,2,23,23,23,23
p23_s100_cross,23,point,3,23,23,23,23
p23_s100_cross,23,point,4,23,23,23,23
p23_s100_cross,23,point,5,23,23,23,23
p23_s100_cross,23,point,6,23,23,23,23
p23_s100_cross,23,point,7,23,23,23,23
p23_s100_cross,23,point,8,23,23,23,0
p23_s100_cross,23,point,9,23,23,23,0
p23_s100_cross,23,point,10,23,23,23,0
p23_s100_cross,23,point,11,23,23,23,0
p23_s100_cross,23,point,12,23,23,23,0
p23_s100_cross,23,point,13,23,23,23,0
p23_s100_cross,23,point,14,23,23,23,0
p23_s100_cross,23,point,15,23,23,23,0
p23_s100_cross,23,point,16,23,23,23,0
p23_s100_cross,23,point,17,23,23,23,0
p23_s100_cross,23,point,18,23,23,23,0
p23_s100_cross,23,point,19,23,23,23,0
p23_s100_cross,23,point,20,23,23,23,0
p23_s100_cross,23,point,21,23,23,23,0
p23_s100_cross,23,point,22,23,23,23,0
p23_s100_cross,23,point,23,23,23,23,0
p23_s100_cross,23,point,24,23,23,23,0
p23_s100_cross,23,point,25,23,23,23,0
p23_s100_cross,23,point,26,23,23,23,0
p23_s100_cross,23,point,27,23,23,23,0
p23_s100_cross,23,point,28,23,23,23,0
p23_s100_cross,23,point,29,23,23,23,0
p23_s100_cross,23,point,30,23,23,23,0
p23_s100_cross,23,point,31,23,23,23,0
p23_s100_cross,23,point,32,23,23,23,0
p23_s100_cross,23,point,33,23,23,23,0
p23_s100_cross,23,point,34,23,23,23,0
p23_s100_cross,23,point,35,23,23,23,0
p23_s100_cross,23,point,36,23,23,23,0
p23_s100_cross,23,point,37,23,23,23,0
p23_s100_cross,23,point,38,23,23,23,0
p23_s100_cross,23,point,39,23,23,23,0
p23_s100_cross,23,point,40,23,23,23,0
p23_s100_cross,23,point,41,23,23,23,0
p23_s100_cross,23,point,42,23,23,23,0
p23_s100_cross,23,point,43,23,23,23,0
p23_s100_cross,23,point,44,23,23,23,0
p23_s100_cross,23,point,45,23,23,23,0
p23_s100_cross,23,point,46,23,23,23,0
p23_s100_cross,23,point,47,23,23,23,0
p23_s100_cross,23,point,48,23,23,23,0
p23_s100_cross,23,point,49,23,23,23,0
p23_s100_cross,23,point,50,23,23,23,0
