phase,name,p,seed,variant,view,test_a,truth,rtol,horizon,initial_informative_step,raw_argmax_changes,leader_replacements,correctness_flips,correct_to_wrong,wrong_to_correct,last_leader_replacement,last_correctness_flip,final_correct_state,final_winner_count,final_normalized_correct_margin
discovery,p17_s21_cross,17,21,cross,point,9,1,1e-08,59,0,6,6,1,0,1,8,8,1,1,0.9068101483863356
discovery,p17_s21_cross,17,21,cross,point,10,3,1e-08,59,0,4,4,1,0,1,8,8,1,1,0.8841012577673301
discovery,p17_s21_cross,17,21,cross,point,11,5,1e-08,59,0,4,4,1,0,1,8,8,1,1,1.0874140018050082
discovery,p17_s21_cross,17,21,cross,point,12,7,1e-08,59,0,2,2,1,0,1,8,8,1,1,0.9419460668157034
discovery,p17_s21_cross,17,21,cross,point,13,9,1e-08,59,0,2,2,1,0,1,8,8,1,1,0.82427631277154
discovery,p17_s21_cross,17,21,cross,point,14,11,1e-08,59,0,1,1,1,0,1,8,8,1,1,0.925618421133573
discovery,p17_s21_cross,17,21,cross,point,15,13,1e-08,59,0,3,3,1,0,1,8,8,1,1,1.1022047862151496
discovery,p17_s21_cross,17,21,cross,point,16,15,1e-08,59,0,3,3,1,0,1,8,8,1,1,0.9632252057149367
discovery,p17_s21_diag,17,21,diag,profile,-1,0,1e-08,59,0,45,45,0,0,0,59,,-1,1,-4.532518171908454
discovery,p17_s21_diag,17,21,diag,point,0,0,1e-08,59,0,1,1,0,0,0,7,,-1,1,-2.9315365618173126
discovery,p17_s21_diag,17,21,diag,point,1,2,1e-08,59,0,3,3,0,0,0,7,,-1,1,-2.113647308435627
discovery,p17_s21_diag,17,21,diag,point,2,4,1e-08,59,0,3,3,0,0,0,6,,-1,1,-0.7426910097082405
discovery,p17_s21_diag,17,21,diag,point,3,6,1e-08,59,0,1,1,0,0,0,3,,-1,1,-0.9201932297693108
discovery,p17_s21_diag,17,21,diag,point,4,8,1e-08,59,0,1,1,0,0,0,7,,-1,1,-1.2120585576463418
discovery,p17_s21_diag,17,21,diag,point,5,10,1e-08,59,0,4,4,0,0,0,7,,-1,1,-2.1579652433791083
discovery,p17_s21_diag,17,21,diag,point,6,12,1e-08,59,0,3,3,0,0,0,7,,-1,1,-1.9072701497340074
discovery,p17_s21_diag,17,21,diag,point,7,14,1e-08,59,0,3,3,0,0,0,4,,-1,1,-2.910737600425999
