phase,name,p,seed,variant,view,test_a,truth,rtol,event,previous_step,step,old_classes,new_classes,previous_margin,current_margin,previous_tolerance,current_tolerance,current_normalized_margin
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,35,36,11,1,2.5525137559156974e-12,-4.670103054271735e-10,9.746813062754532e-16,9.746813063394452e-16,-0.14107815369158525
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,36,37,1,2,2.406908006236108e-12,-7.125566803267702e-10,9.746813063394452e-16,9.74681307385949e-16,-0.3409430303313055
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,37,38,2,1,1.364117152569122e-12,-2.1247058279438846e-10,9.74681307385949e-16,9.746813030407934e-16,-0.09685350740289668
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,38,39,1,7,2.4210217164366554e-12,-1.0249905368908685e-09,9.746813030407934e-16,9.746813025368e-16,-0.5515578416802253
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,40,41,7,14,2.1102564140562663e-13,-9.445605270164137e-10,9.746813057294045e-16,9.746813045336046e-16,-0.3079575818770836
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,41,42,14,2,8.32098279168747e-13,-1.231570845305896e-09,9.746813045336046e-16,9.74681306525128e-16,-0.6229299958827599
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,42,43,2,14,1.4544199178345707e-12,-1.7490248971352429e-09,9.74681306525128e-16,9.746813119220184e-16,-0.5888637037036184
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,43,44,14,2,1.107794411758789e-12,-1.5835712879885833e-09,9.746813119220184e-16,9.746813057079785e-16,-0.696401140342746
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,45,46,2,7,1.360897505797709e-12,-5.231629018886963e-10,9.746813096265931e-16,9.746813050737002e-16,-0.29968322694986116
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,47,48,7,5,6.70991040507829e-14,-1.3459147824024242e-09,9.746813015397205e-16,9.746813061545633e-16,-0.6867429725242463
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,48,49,5,13,2.786354480477371e-12,-1.0421667556714809e-09,9.746813061545633e-16,9.746813104267742e-16,-0.31923149414662444
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,49,50,13,7,6.773331895360002e-13,-1.1777159109049862e-09,9.746813104267742e-16,9.746813089416834e-16,-0.3667449845673538
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,50,51,7,1,2.1571633368466792e-13,-5.140648740020737e-10,9.746813089416834e-16,9.746813071369247e-16,-0.358686599269819
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,51,52,1,9,2.5351665211559293e-12,-5.40226668954702e-10,9.746813071369247e-16,9.746813042023008e-16,-0.21701357208324468
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,52,53,9,2,1.0093315072623454e-12,-8.650189037284761e-10,9.746813042023008e-16,9.746813082679092e-16,-0.3786177016670232
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,53,54,2,13,1.349531597583109e-12,-7.748974656385244e-10,9.746813082679092e-16,9.74681311567265e-16,-0.3293507330083933
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,54,55,13,9,7.834566329023573e-13,-7.257666689852726e-11,9.74681311567265e-16,9.746813066094092e-16,-0.03704306924359461
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,55,56,9,2,8.928413564035509e-13,-5.503769801018521e-10,9.746813066094092e-16,9.746813073079132e-16,-0.22887983010894114
