p,seed,method,chosen_code,test_acc,test_correct,test_n,test_normalized_margin,test_mean_margin,test_mse,validation_acc,validation_normalized_margin,validation_test_gap,online_fits,charged_fits,online_updates,unique_candidates,online_seconds,charged_seconds,peak_cuda_allocated_bytes,final_kernel_condition,relative_solve_residual,near_top_ties_relative_1e8,source
17,2012,greedy_probe,38,1.0,11,11,1.516524791584011,0.0026275809812740564,0.05495872181687868,1.0,1.5195949879689532,0.0,170,170,159,11,1.495408767000015,1.495408767000015,21959168,35702.32454427736,3.601855388052629e-14,0,runs/p17-s2012-greedy_probe/selected.npz
17,2012,random_full,0,1.0,11,11,1.4691229938867691,0.0026460597755396877,0.054948479392313405,1.0,1.474199922028957,0.0,120,120,118,2,1.0697932600000115,1.0697932600000115,16208384,35702.57681451351,3.5803347716297036e-14,0,runs/p17-s2012-random_full/selected.npz
17,2012,unmodified,0,1.0,11,11,1.4691229938867691,0.0026460597755396877,0.054948479392313405,1.0,1.474199922028957,0.0,60,60,59,1,,,,35702.57681451351,3.5803347716297036e-14,0,runs/p17-s2012-random_full/unmodified.npz
17,2012,bank,29,1.0,11,11,1.54709648532042,0.002643795720806752,0.05495639586244657,1.0,1.367669742137946,0.0,60,171.0,59,1,0.533897440000004,1.565308761050004,15569408,35717.31923228748,3.5734722940170035e-14,0,runs/p17-s2012-bank/selected.npz
17,2013,bank,110,1.0,11,11,1.8114927371057403,0.005118993264908833,0.0546112750289098,1.0,1.8123401321942507,0.0,60,171.0,59,1,0.5417016419999925,1.5731129630499925,15569408,35991.47784391051,3.585081078774007e-14,0,runs/p17-s2013-bank/selected.npz
17,2013,greedy_probe,84,1.0,11,11,1.6765136391154953,0.004729876888866952,0.05459704229040622,1.0,1.6897483407972687,0.0,170,170,159,11,1.4709658300000115,1.4709658300000115,21959168,36016.2325474907,3.4136732734703776e-14,0,runs/p17-s2013-greedy_probe/selected.npz
17,2013,random_full,0,1.0,11,11,1.1593548627222097,0.004840826545408846,0.054296044550744715,1.0,1.1506241154604602,0.0,120,120,118,2,1.068159881000014,1.068159881000014,16208384,36124.51997645508,3.8293859468562476e-14,0,runs/p17-s2013-random_full/selected.npz
17,2013,unmodified,0,1.0,11,11,1.1593548627222097,0.004840826545408846,0.054296044550744715,1.0,1.1506241154604602,0.0,60,60,59,1,,,,36124.51997645508,3.8293859468562476e-14,0,runs/p17-s2013-random_full/unmodified.npz
17,2013,random_probe,110,1.0,11,11,1.8114927371057403,0.005118993264908833,0.0546112750289098,1.0,1.8123401321942507,0.0,170,170,159,11,1.4670205699999883,1.4670205699999883,21959168,35991.47784391051,3.585081078774007e-14,0,runs/p17-s2013-random_probe/selected.npz
17,2014,random_probe,2,1.0,11,11,1.7059479858256574,0.0028133093307294186,0.05492286168107744,1.0,1.6979747446904823,0.0,170,170,159,11,1.5050835549999988,1.5050835549999988,21959168,35650.741779628974,3.465775686790793e-14,0,runs/p17-s2014-random_probe/selected.npz
17,2014,random_full,0,1.0,11,11,0.9147194417877074,0.0014370768579227108,0.055037285134137345,1.0,0.9187610604083459,0.0,120,120,118,2,1.1539528469999993,1.1539528469999993,16208384,35652.65307762001,3.468862281496089e-14,0,runs/p17-s2014-random_full/selected.npz
17,2014,unmodified,0,1.0,11,11,0.9147194417877074,0.0014370768579227108,0.055037285134137345,1.0,0.9187610604083459,0.0,60,60,59,1,,,,35652.65307762001,3.468862281496089e-14,0,runs/p17-s2014-random_full/unmodified.npz
17,2014,bank,34,1.0,11,11,1.6446496121554843,0.002727088440444171,0.05494094884486124,1.0,1.6537055661263882,0.0,60,171.0,59,1,0.5636323180000034,1.5950436390500033,15569408,35649.488820293656,3.6974696246676413e-14,0,runs/p17-s2014-bank/selected.npz
17,2014,greedy_probe,56,1.0,11,11,1.686719873059051,0.0027920899489053243,0.05492167445130073,1.0,1.6260406376089245,0.0,170,170,159,11,1.5392891099999986,1.5392891099999986,21959168,35645.06676034446,3.47055188169252e-14,0,runs/p17-s2014-greedy_probe/selected.npz
17,2015,random_full,0,1.0,11,11,1.2074017833341197,0.001666427280475704,0.05510808084551013,1.0,1.2730138139851597,0.0,120,120,118,2,1.1310427999999888,1.1310427999999888,16208384,35630.64297791398,3.405770639193636e-14,0,runs/p17-s2015-random_full/selected.npz
17,2015,unmodified,0,1.0,11,11,1.2074017833341197,0.001666427280475704,0.05510808084551013,1.0,1.2730138139851597,0.0,60,60,59,1,,,,35630.64297791398,3.405770639193636e-14,0,runs/p17-s2015-random_full/unmodified.npz
