p,seed,setting,acc,predicted_acc,error,denominator,centering,epsilon
17,106,default,0.058823529411764705,0.0392156862745098,0.0196078431372549,12.5,True,0.01
17,106,paper,0.0,0.0392156862745098,0.0392156862745098,2.5,True,0.01
17,106,uncentered,0.0,0.0392156862745098,0.0392156862745098,12.5,False,0.01
17,106,paper_uncentered,0.0,0.0392156862745098,0.0392156862745098,2.5,False,0.01
17,106,bw15,0.0,0.0392156862745098,0.0392156862745098,4.5,True,0.01
17,106,bw20,0.0,0.0392156862745098,0.0392156862745098,8.0,True,0.01
17,106,bw30,0.058823529411764705,0.0392156862745098,0.0196078431372549,18.0,True,0.01
17,106,eps001,0.058823529411764705,0.0392156862745098,0.0196078431372549,12.5,True,0.001
17,106,eps03,0.058823529411764705,0.0392156862745098,0.0196078431372549,12.5,True,0.03
17,107,default,0.058823529411764705,0.0,0.058823529411764705,12.5,True,0.01
17,107,paper,0.0,0.0,0.0,2.5,True,0.01
17,107,uncentered,0.0,0.0,0.0,12.5,False,0.01
17,107,paper_uncentered,0.0,0.0,0.0,2.5,False,0.01
17,107,bw15,0.0,0.0,0.0,4.5,True,0.01
17,107,bw20,0.0,0.0,0.0,8.0,True,0.01
17,107,bw30,0.058823529411764705,0.0,0.058823529411764705,18.0,True,0.01
17,107,eps001,0.058823529411764705,0.0,0.058823529411764705,12.5,True,0.001
17,107,eps03,0.058823529411764705,0.0,0.058823529411764705,12.5,True,0.03
17,108,default,1.0,1.0,0.0,12.5,True,0.01
17,108,paper,1.0,1.0,0.0,2.5,True,0.01
17,108,uncentered,1.0,1.0,0.0,12.5,False,0.01
17,108,paper_uncentered,1.0,1.0,0.0,2.5,False,0.01
17,108,bw15,1.0,1.0,0.0,4.5,True,0.01
17,108,bw20,1.0,1.0,0.0,8.0,True,0.01
17,108,bw30,1.0,1.0,0.0,18.0,True,0.01
17,108,eps001,1.0,1.0,0.0,12.5,True,0.001
17,108,eps03,1.0,1.0,0.0,12.5,True,0.03
17,109,default,1.0,1.0,0.0,12.5,True,0.01
17,109,paper,1.0,1.0,0.0,2.5,True,0.01
17,109,uncentered,1.0,1.0,0.0,12.5,False,0.01
17,109,paper_uncentered,1.0,1.0,0.0,2.5,False,0.01
17,109,bw15,1.0,1.0,0.0,4.5,True,0.01
17,109,bw20,1.0,1.0,0.0,8.0,True,0.01
17,109,bw30,1.0,1.0,0.0,18.0,True,0.01
17,109,eps001,1.0,1.0,0.0,12.5,True,0.001
17,109,eps03,1.0,1.0,0.0,12.5,True,0.03
23,100,default,1.0,1.0,0.0,12.5,True,0.01
23,100,paper,1.0,1.0,0.0,2.5,True,0.01
23,100,uncentered,1.0,1.0,0.0,12.5,False,0.01
23,100,paper_uncentered,1.0,1.0,0.0,2.5,False,0.01
23,100,bw15,1.0,1.0,0.0,4.5,True,0.01
23,100,bw20,1.0,1.0,0.0,8.0,True,0.01
23,100,bw30,1.0,1.0,0.0,18.0,True,0.01
23,100,eps001,1.0,1.0,0.0,12.5,True,0.001
23,100,eps03,1.0,1.0,0.0,12.5,True,0.03
23,101,default,1.0,1.0,0.0,12.5,True,0.01
23,101,paper,1.0,1.0,0.0,2.5,True,0.01
23,101,uncentered,1.0,1.0,0.0,12.5,False,0.01
23,101,paper_uncentered,0.7391304347826086,1.0,0.26086956521739135,2.5,False,0.01
23,101,bw15,1.0,1.0,0.0,4.5,True,0.01
23,101,bw20,1.0,1.0,0.0,8.0,True,0.01
23,101,bw30,1.0,1.0,0.0,18.0,True,0.01
23,101,eps001,1.0,1.0,0.0,12.5,True,0.001
23,101,eps03,1.0,1.0,0.0,12.5,True,0.03
23,102,default,0.34782608695652173,0.17647058823529413,0.1713554987212276,12.5,True,0.01
23,102,paper,0.0,0.17647058823529413,0.17647058823529413,2.5,True,0.01
23,102,uncentered,0.3913043478260869,0.17647058823529413,0.2148337595907928,12.5,False,0.01
23,102,paper_uncentered,0.0,0.17647058823529413,0.17647058823529413,2.5,False,0.01
23,102,bw15,0.0,0.17647058823529413,0.17647058823529413,4.5,True,0.01
23,102,bw20,0.2608695652173913,0.17647058823529413,0.08439897698209717,8.0,True,0.01
23,102,bw30,0.4782608695652174,0.17647058823529413,0.30179028132992325,18.0,True,0.01
23,102,eps001,0.34782608695652173,0.17647058823529413,0.1713554987212276,12.5,True,0.001
23,102,eps03,0.3913043478260869,0.17647058823529413,0.2148337595907928,12.5,True,0.03
23,103,default,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.01
23,103,paper,0.3913043478260869,0.9656862745098039,0.574381926683717,2.5,True,0.01
23,103,uncentered,1.0,0.9656862745098039,0.03431372549019607,12.5,False,0.01
23,103,paper_uncentered,0.17391304347826086,0.9656862745098039,0.7917732310315431,2.5,False,0.01
23,103,bw15,0.8260869565217391,0.9656862745098039,0.1395993179880648,4.5,True,0.01
23,103,bw20,1.0,0.9656862745098039,0.03431372549019607,8.0,True,0.01
23,103,bw30,1.0,0.9656862745098039,0.03431372549019607,18.0,True,0.01
23,103,eps001,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.001
23,103,eps03,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.03
23,104,default,0.9565217391304348,0.9199519252449049,0.036569813885529934,12.5,True,0.01
23,104,paper,0.2608695652173913,0.9199519252449049,0.6590823600275135,2.5,True,0.01
23,104,uncentered,0.8695652173913043,0.9199519252449049,0.050386707853600554,12.5,False,0.01
23,104,paper_uncentered,0.043478260869565216,0.9199519252449049,0.8764736643753397,2.5,False,0.01
23,104,bw15,0.6521739130434783,0.9199519252449049,0.2677780122014266,4.5,True,0.01
23,104,bw20,0.9130434782608695,0.9199519252449049,0.006908446984035366,8.0,True,0.01
23,104,bw30,1.0,0.9199519252449049,0.08004807475509512,18.0,True,0.01
23,104,eps001,0.9565217391304348,0.9199519252449049,0.036569813885529934,12.5,True,0.001
23,104,eps03,0.9565217391304348,0.9199519252449049,0.036569813885529934,12.5,True,0.03
23,105,default,0.0,0.008747456573107323,0.008747456573107323,12.5,True,0.01
23,105,paper,0.0,0.008747456573107323,0.008747456573107323,2.5,True,0.01
23,105,uncentered,0.0,0.008747456573107323,0.008747456573107323,12.5,False,0.01
23,105,paper_uncentered,0.0,0.008747456573107323,0.008747456573107323,2.5,False,0.01
23,105,bw15,0.0,0.008747456573107323,0.008747456573107323,4.5,True,0.01
23,105,bw20,0.0,0.008747456573107323,0.008747456573107323,8.0,True,0.01
23,105,bw30,0.0,0.008747456573107323,0.008747456573107323,18.0,True,0.01
23,105,eps001,0.0,0.008747456573107323,0.008747456573107323,12.5,True,0.001
23,105,eps03,0.0,0.008747456573107323,0.008747456573107323,12.5,True,0.03
23,106,default,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.01
23,106,paper,1.0,0.9656862745098039,0.03431372549019607,2.5,True,0.01
23,106,uncentered,1.0,0.9656862745098039,0.03431372549019607,12.5,False,0.01
23,106,paper_uncentered,1.0,0.9656862745098039,0.03431372549019607,2.5,False,0.01
23,106,bw15,1.0,0.9656862745098039,0.03431372549019607,4.5,True,0.01
23,106,bw20,1.0,0.9656862745098039,0.03431372549019607,8.0,True,0.01
23,106,bw30,1.0,0.9656862745098039,0.03431372549019607,18.0,True,0.01
23,106,eps001,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.001
23,106,eps03,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.03
23,107,default,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.01
23,107,paper,1.0,0.9656862745098039,0.03431372549019607,2.5,True,0.01
23,107,uncentered,1.0,0.9656862745098039,0.03431372549019607,12.5,False,0.01
23,107,paper_uncentered,0.9130434782608695,0.9656862745098039,0.05264279624893442,2.5,False,0.01
23,107,bw15,1.0,0.9656862745098039,0.03431372549019607,4.5,True,0.01
23,107,bw20,1.0,0.9656862745098039,0.03431372549019607,8.0,True,0.01
23,107,bw30,1.0,0.9656862745098039,0.03431372549019607,18.0,True,0.01
23,107,eps001,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.001
23,107,eps03,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.03
23,108,default,1.0,0.8529411764705883,0.1470588235294117,12.5,True,0.01
23,108,paper,0.13043478260869565,0.8529411764705883,0.7225063938618926,2.5,True,0.01
23,108,uncentered,0.17391304347826086,0.8529411764705883,0.6790281329923274,12.5,False,0.01
23,108,paper_uncentered,0.0,0.8529411764705883,0.8529411764705883,2.5,False,0.01
23,108,bw15,0.6521739130434783,0.8529411764705883,0.20076726342711004,4.5,True,0.01
23,108,bw20,1.0,0.8529411764705883,0.1470588235294117,8.0,True,0.01
23,108,bw30,1.0,0.8529411764705883,0.1470588235294117,18.0,True,0.01
23,108,eps001,1.0,0.8529411764705883,0.1470588235294117,12.5,True,0.001
23,108,eps03,1.0,0.8529411764705883,0.1470588235294117,12.5,True,0.03
23,109,default,1.0,1.0,0.0,12.5,True,0.01
23,109,paper,1.0,1.0,0.0,2.5,True,0.01
23,109,uncentered,1.0,1.0,0.0,12.5,False,0.01
23,109,paper_uncentered,1.0,1.0,0.0,2.5,False,0.01
23,109,bw15,1.0,1.0,0.0,4.5,True,0.01
23,109,bw20,1.0,1.0,0.0,8.0,True,0.01
23,109,bw30,1.0,1.0,0.0,18.0,True,0.01
23,109,eps001,1.0,1.0,0.0,12.5,True,0.001
23,109,eps03,1.0,1.0,0.0,12.5,True,0.03
