p,seed,signal,predicted_acc,constant_acc,circulant_fraction,frequency_concentration,spectral_fraction,effective_rank,centered_energy_fraction,actual_acc,absolute_error,constant_error,profile_cosine,profile_relative_l2,raw_step5_acc,raw_step10_acc
23,106,1.3033803250700489,0.9656862745098039,0.7102941176470589,0.040381566880318374,0.4370778967730526,0.1306983001008995,11.707969963397055,0.8861493058313973,1.0,0.03431372549019607,0.28970588235294115,0.9994732035548523,0.034939232365396054,0.0,1.0
23,107,0.7586514858606215,0.9656862745098039,0.7102941176470589,0.0431634008282046,0.38406626504700625,0.12901221845106703,11.382950073029553,0.9094079615943975,1.0,0.03431372549019607,0.28970588235294115,0.9995916017099111,0.030201878391113927,0.0,1.0
23,108,0.30219360587724836,0.8529411764705883,0.7102941176470589,0.07625963739374399,0.2919471188992798,0.14310794116769726,11.71519423404539,0.9505057085098814,1.0,0.1470588235294117,0.28970588235294115,0.9993149112861461,0.03740879607258545,0.0,1.0
23,109,1.5469733781212378,1.0,0.7102941176470589,0.06300362150120144,0.32840292482383004,0.14067667549087845,10.510596977319178,0.9458010560434538,1.0,0.0,0.28970588235294115,0.9995498714267205,0.04064268669069894,0.0,1.0
23,110,1.442319238385722,1.0,0.7102941176470589,0.04685252689937293,0.4045570525065457,0.13326887239185609,11.37565985251203,0.9311927522860736,1.0,0.0,0.28970588235294115,0.9996267159202494,0.027495181110819597,0.0,1.0
23,111,0.4269815690524314,0.8529411764705883,0.7102941176470589,0.0314297658457133,0.47188174572267044,0.1367388622041985,11.53626525722971,0.838866929296804,1.0,0.1470588235294117,0.28970588235294115,0.9991289581768809,0.06058346267154056,0.0,1.0
23,112,0.3893060150924351,0.8529411764705883,0.7102941176470589,0.056819251393544226,0.4593660900784236,0.13188873480325367,12.334297634693414,0.9287632875566496,1.0,0.1470588235294117,0.28970588235294115,0.9996532971751853,0.03646116006023993,0.0,1.0
23,113,0.826099214375265,0.9656862745098039,0.7102941176470589,0.02897593064104871,0.22740504227954292,0.15356079974174547,10.506358126092776,0.906017470286959,1.0,0.03431372549019607,0.28970588235294115,0.9989100538250142,0.04710077735937677,0.0,1.0
23,114,1.5582304272501177,1.0,0.7102941176470589,0.06602134274621604,0.48064098756304713,0.14762086049905163,11.521990715956639,0.9351011247357375,1.0,0.0,0.28970588235294115,0.9999586400384658,0.03480872717586292,0.0,1.0
23,115,0.7449057446676554,0.962574646145,0.7102941176470589,0.02440158555337469,0.3418027169157195,0.1627751203674071,10.274111008879164,0.9039539758865591,1.0,0.03742535385500001,0.28970588235294115,0.9993298246217156,0.04797754506405518,0.0,1.0
23,116,1.560153134621709,1.0,0.7102941176470589,0.07943018719077637,0.30256684204012585,0.1547098138212173,11.437051989057599,0.9187619372331028,1.0,0.0,0.28970588235294115,0.9989229362573787,0.05319939466847544,0.0,1.0
23,117,1.2053726156429379,0.9656862745098039,0.7102941176470589,0.04221763180248839,0.33357989848390857,0.15529165360983058,10.71806593672366,0.870746827483906,1.0,0.03431372549019607,0.28970588235294115,0.99942606030402,0.04199088834055732,0.0,1.0
23,118,2.5841047777899915,1.0,0.7102941176470589,0.03342285944846249,0.29833293484392376,0.14170220481240903,11.064507788369365,0.938563846524618,1.0,0.0,0.28970588235294115,0.99932485427533,0.03737537341231221,0.0,1.0
